name,actual ,predict,accuracy,sensitivity,specificity,accuracy
MATH,37,37,1,1,1,1
DIE2_ALG10,16,16,1,1,1,1
U-box,23,23,1,1,1,1
Flavodoxin_2,164,164,1,1,1,1
Flavodoxin_1,40,40,1,1,1,1
HSP90,147,147,1,1,1,1
Ribosomal_60s,43,43,1,1,1,1
HIGH_NTase1,66,66,1,1,1,1
Usp,39,39,1,1,1,1
Pyridoxal_deC,53,53,1,1,1,1
Cytochrom_C,40,40,1,1,1,1
G-alpha,44,44,1,1,1,1
Cytidylate_kin,181,181,1,1,1,1
TEA,11,11,1,1,1,1
Glyco_hydro_56,10,10,1,1,1,1
SBDS_C,10,10,1,1,1,1
FeS,17,17,1,1,1,1
Cytochrom_C_asm,39,39,1,1,1,1
YitT_membrane,10,10,1,1,1,1
FMO-like,39,39,1,1,1,1
Cytochrom_C552,18,18,1,1,1,1
Cytochrom_C550,21,21,1,1,1,1
dUTPase,310,310,1,1,1,1
Tubulin,50,50,1,1,1,1
FMN_red,88,88,1,1,1,1
AMP-binding,89,89,1,1,1,1
ADH_N,33,33,1,1,1,1
ADC,11,11,1,1,1,1
Sterol_MT_C,11,11,1,1,1,1
ADK,155,155,1,1,1,1
Cons_hypoth698,40,40,1,1,1,1
Interferon,24,24,1,1,1,1
End3,19,19,1,1,1,1
HEAT_2,37,37,1,1,1,1
HK,129,129,1,1,1,1
F420_oxidored,14,14,1,1,1,1
Prenyltrans,23,23,1,1,1,1
RNase_P_p30,21,21,1,1,1,1
DUF496,14,14,1,1,1,1
LacAB_rpiB,25,25,1,1,1,1
FdhD-NarQ,37,37,1,1,1,1
YscJ_FliF_C,10,10,1,1,1,1
Ribosomal_L5e,46,46,1,1,1,1
DUF2585,11,11,1,1,1,1
RNA_helicase,21,21,1,1,1,1
Phos_pyr_kin,48,48,1,1,1,1
Amino_oxidase,52,52,1,1,1,1
MNHE,10,10,1,1,1,1
Fibrinogen_C,16,16,1,1,1,1
Iron_traffic,71,71,1,1,1,1
Nucleoside_tran,11,11,1,1,1,1
Nop16,27,27,1,1,1,1
eIF3g,16,16,1,1,1,1
CTU2,37,37,1,1,1,1
PC-Esterase,11,11,1,1,1,1
Sgf11,13,13,1,1,1,1
Malate_synthase,35,35,1,1,1,1
DSPc,43,43,1,1,1,1
SecD_SecF,27,27,1,1,1,1
TIP49,10,10,1,1,1,1
TGT_C2,12,12,1,1,1,1
DHDPS,287,287,1,1,1,1
Xpo1,29,29,1,1,1,1
FBA_1,116,116,1,1,1,1
AlaDh_PNT_N,16,16,1,1,1,1
ASL_C2,56,56,1,1,1,1
MHC_II_beta,22,22,1,1,1,1
EMG1,15,15,1,1,1,1
Mannosyl_trans3,15,15,1,1,1,1
Mannosyl_trans2,18,18,1,1,1,1
BolA,14,14,1,1,1,1
Peripla_BP_6,10,10,1,1,1,1
Velvet,31,31,1,1,1,1
Peripla_BP_3,41,41,1,1,1,1
Peripla_BP_2,27,27,1,1,1,1
Med31,15,15,1,1,1,1
F_bP_aldolase,29,29,1,1,1,1
rhaM,30,30,1,1,1,1
Fer2_2,13,13,1,1,1,1
AdoHcyase_NAD,55,55,1,1,1,1
Smg8_Smg9,11,11,1,1,1,1
NPR3,16,16,1,1,1,1
Exo_endo_phos,84,84,1,1,1,1
NTP_transferase,179,179,1,1,1,1
DNA_ligase_aden,12,12,1,1,1,1
rRNA_processing,10,10,1,1,1,1
HTH_AsnC-type,10,10,1,1,1,1
Thy1,44,44,1,1,1,1
Peptidase_M28,87,87,1,1,1,1
Peptidase_M20,328,327,1,1,1,1
Peptidase_M22,311,311,1,1,1,1
Peptidase_M23,12,12,1,1,1,1
EamA,100,100,1,1,1,1
GcpE,107,107,1,1,1,1
TusA,36,36,1,1,1,1
CMD,36,36,1,1,1,1
eIF-5_eIF-2B,27,27,1,1,1,1
Flavodoxin_NdrI,40,40,1,1,1,1
Glu-tRNAGln,255,255,1,1,1,1
TruD,91,91,1,1,1,1
Transketolase_N,17,17,1,1,1,1
Proteasome,303,303,1,1,1,1
RNase_HII,330,330,1,1,1,1
PRA-CH,108,108,1,1,1,1
TolB_N,96,96,1,1,1,1
Ribonuc_red_lgC,18,18,1,1,1,1
MtN3_slv,18,18,1,1,1,1
DUF1846,13,13,1,1,1,1
Ribosomal_L21e,37,37,1,1,1,1
Mpv17_PMP22,23,23,1,1,1,1
Laminin_EGF,35,35,1,1,1,1
MAGE,12,12,1,1,1,1
DUF126,12,12,1,1,1,1
RWD,14,14,1,1,1,1
HgmA,20,20,1,1,1,1
GCV_T_C,138,138,1,1,1,1
Urease_alpha,77,77,1,1,1,1
SWIM,11,11,1,1,1,1
Catalase-rel,39,39,1,1,1,1
Med14,16,16,1,1,1,1
RNase_H,146,146,1,1,1,1
Urease_beta,105,105,1,1,1,1
XET_C,12,12,1,1,1,1
RimK,51,51,1,1,1,1
CBP4,22,22,1,1,1,1
Kinase-PPPase,130,130,1,1,1,1
V-set,273,273,1,1,1,1
Isochorismatase,32,32,1,1,1,1
PDR_assoc,16,16,1,1,1,1
AdoMet_dc,67,67,1,1,1,1
Fer2,52,52,1,1,1,1
Fer4,66,66,1,1,1,1
E3_binding,22,22,1,1,1,1
Transpeptidase,32,32,1,1,1,1
Gly_radical,17,17,1,1,1,1
RF-1,237,237,1,1,1,1
zf-AN1,10,10,1,1,1,1
Aa_trans,41,41,1,1,1,1
GreA_GreB_N,100,100,1,1,1,1
Myb_DNA-binding,57,57,1,1,1,1
SRP54_N,26,26,1,1,1,1
SeqA,11,11,1,1,1,1
Inhibitor_I9,18,18,1,1,1,1
TilS_C,77,77,1,1,1,1
ACPS,278,278,1,1,1,1
PUF,37,37,1,1,1,1
Hemerythrin,14,14,1,1,1,1
PUA,177,177,1,1,1,1
Ribosomal_L44,10,10,1,1,1,1
Glyco_hydro_20,13,13,1,1,1,1
SBF,16,16,1,1,1,1
Helicase_C_2,31,31,1,1,1,1
Glyco_hydro_28,51,51,1,1,1,1
OSCP,384,384,1,1,1,1
Herpes_alk_exo,11,11,1,1,1,1
PNP_UDP_1,178,178,1,1,1,1
Oxidored_FMN,26,26,1,1,1,1
PA14,41,41,1,1,1,1
vATP-synt_E,64,64,1,1,1,1
Ammonium_transp,37,37,1,1,1,1
Lipase_3,33,33,1,1,1,1
LBP_BPI_CETP,12,12,1,1,1,1
AnmK,113,113,1,1,1,1
Prismane,68,68,1,1,1,1
Pantoate_transf,246,246,1,1,1,1
RhaA,11,11,1,1,1,1
DUF480,58,58,1,1,1,1
H_PPase,14,14,1,1,1,1
YgbB,209,209,1,1,1,1
Glyco_hydro_32N,21,21,1,1,1,1
DUF489,50,50,1,1,1,1
Dynamin_N,22,22,1,1,1,1
Ctr,16,16,1,1,1,1
PUA_2,74,74,1,1,1,1
Macro,50,50,1,1,1,1
UPF0060,92,92,1,1,1,1
UPF0061,110,110,1,1,1,1
ACBP,12,12,1,1,1,1
DNA_pol_E_B,18,18,1,1,1,1
SAM_1,16,16,1,1,1,1
Thr_dehydrat_C,13,13,1,1,1,1
dNK,22,22,1,1,1,1
Complex1_49kDa,154,154,1,1,1,1
ADH_zinc_N_2,14,14,1,1,1,1
Cyclase,24,24,1,1,1,1
YfbU,13,13,1,1,1,1
Virul_fac_BrkB,66,66,1,1,1,1
Transthyretin,16,16,1,1,1,1
Zip,53,53,1,1,1,1
Proton_antipo_M,250,250,1,1,1,1
DUF31,14,14,1,1,1,1
LIM,52,52,1,1,1,1
MttA_Hcf106,251,251,1,1,1,1
Beta-lactamase,16,16,1,1,1,1
Ribosomal_S3_C,132,132,1,1,1,1
LUD_dom,22,22,1,1,1,1
Bestrophin,14,14,1,1,1,1
Poxvirus,10,10,1,1,1,1
THDPS_N_2,84,84,1,1,1,1
PP2C,87,87,1,1,1,1
Spectrin,23,23,1,1,1,1
2OG-FeII_Oxy,14,14,1,1,1,1
Catalase,10,10,1,1,1,1
WhiA_N,69,69,1,1,1,1
Phage_lysozyme,16,16,1,1,1,1
WTF,16,16,1,1,1,1
MoCF_biosynth,155,155,1,1,1,1
FliMN_C,18,18,1,1,1,1
Pentapeptide,11,11,1,1,1,1
CitMHS,15,15,1,1,1,1
SANT_DAMP1_like,11,11,1,1,1,1
HRM,18,18,1,1,1,1
TPT,12,12,1,1,1,1
SlyX,48,48,1,1,1,1
PolC_DP2,24,24,1,1,1,1
UPF0086,29,29,1,1,1,1
TatD_DNase,32,32,1,1,1,1
ACP_syn_III_C,176,176,1,1,1,1
Trp_DMAT,12,12,1,1,1,1
ShK,10,10,1,1,1,1
cobW,59,59,1,1,1,1
ACT,37,37,1,1,1,1
ZapD,25,25,1,1,1,1
ThiC-associated,82,82,1,1,1,1
S_100,27,27,1,1,1,1
She9_MDM33,11,11,1,1,1,1
Myb_DNA-bind_6,20,20,1,1,1,1
Peptidase_M50,42,42,1,1,1,1
Formyl_trans_N,317,317,1,1,1,1
Peptidase_M54,16,16,1,1,1,1
AP_endonuc_2,161,161,1,1,1,1
Peptidase_C2,15,15,1,1,1,1
Peptidase_C1,48,48,1,1,1,1
QueF_N,65,65,1,1,1,1
HEM4,12,12,1,1,1,1
LBP_BPI_CETP_C,20,20,1,1,1,1
Connexin,15,15,1,1,1,1
Ribosomal_L34e,19,19,1,1,1,1
PvlArgDC,22,22,1,1,1,1
Herpes_UL7,12,12,1,1,1,1
Herpes_UL6,12,12,1,1,1,1
eIF-5a,34,34,1,1,1,1
Gly_transf_sug,11,11,1,1,1,1
Tim17,24,24,1,1,1,1
T2SSE,14,14,1,1,1,1
zn-ribbon_14,15,15,1,1,1,1
FTSW_RODA_SPOVE,54,54,1,1,1,1
Pox_MCEL,24,24,1,1,1,1
RdRP_4,12,12,1,1,1,1
RdgC,31,31,1,1,1,1
RdRP_1,13,13,1,1,1,1
RALF,25,25,1,1,1,1
HisKA,36,36,1,1,1,1
DUF1100,10,10,1,1,1,1
SHE3,10,10,1,1,1,1
PhzC-PhzF,19,19,1,1,1,1
DUF134,40,40,1,1,1,1
SET,99,99,1,1,1,1
SBP_bac_8,13,13,1,1,1,1
TilS,25,25,1,1,1,1
LAGLIDADG_1,23,23,1,1,1,1
SEA,15,15,1,1,1,1
Lyase_aromatic,64,64,1,1,1,1
PDZ,51,51,1,1,1,1
PCNA_N,49,49,1,1,1,1
Rad4,16,16,1,1,1,1
PDT,16,16,1,1,1,1
Ribosomal_L9_N,259,259,1,1,1,1
LRR_9,38,38,1,1,1,1
CRAL_TRIO_N,36,36,1,1,1,1
Lipase_GDSL,92,92,1,1,1,1
Transket_pyr,212,212,1,1,1,1
LRR_4,18,18,1,1,1,1
LRR_5,19,19,1,1,1,1
LRR_6,61,61,1,1,1,1
ArsC,18,18,1,1,1,1
SepF,62,62,1,1,1,1
Aminotran_1_2,567,567,1,1,1,1
Secretin_N,12,12,1,1,1,1
TOPRIM_C,13,13,1,1,1,1
ACCA,138,138,1,1,1,1
Lectin_C,129,129,1,1,1,1
PYNP_C,77,77,1,1,1,1
DUF1328,75,75,1,1,1,1
PTS-HPr,21,21,1,1,1,1
TGS,74,74,1,1,1,1
RasGEF_N,37,37,1,1,1,1
Tryp_alpha_amyl,51,51,1,1,1,1
TGT,162,162,1,1,1,1
RtcB,21,21,1,1,1,1
HARE-HTH,25,25,1,1,1,1
TGFb_propeptide,42,42,1,1,1,1
Cecropin,11,11,1,1,1,1
Cytochrom_B559,18,18,1,1,1,1
RraB,14,14,1,1,1,1
Sod_Fe_C,16,16,1,1,1,1
CheD,83,83,1,1,1,1
A2M_N_2,11,11,1,1,1,1
DapB_C,14,14,1,1,1,1
Memo,34,34,1,1,1,1
SepSecS,22,22,1,1,1,1
Arginase,61,61,1,1,1,1
FMN_bind,30,30,1,1,1,1
M20_dimer,32,32,1,1,1,1
PMR5N,12,12,1,1,1,1
Neur_chan_memb,67,67,1,1,1,1
HMG_box,41,41,1,1,1,1
Gate,13,13,1,1,1,1
CWC25,11,11,1,1,1,1
YbjQ_1,99,99,1,1,1,1
Glu_cys_ligase,37,37,1,1,1,1
Pept_tRNA_hydro,326,326,1,1,1,1
S-methyl_trans,12,12,1,1,1,1
Haem_degrading,18,18,1,1,1,1
Acid_phosphat_B,13,13,1,1,1,1
Methyltransf_1N,13,13,1,1,1,1
mIF3,15,15,1,1,1,1
Gamma-thionin,11,11,1,1,1,1
Trp_dioxygenase,37,37,1,1,1,1
SHS2_Rpb7-N,10,10,1,1,1,1
DUF2309,53,53,1,1,1,1
Methyltransf_16,21,21,1,1,1,1
DUF21,17,17,1,1,1,1
HAD,24,24,1,1,1,1
Methyltransf_11,72,72,1,1,1,1
Methyltransf_12,18,18,1,1,1,1
RhoGAP,67,67,1,1,1,1
RNA_pol_L_2,36,36,1,1,1,1
Lactamase_B_3,100,100,1,1,1,1
ABC_trans_N,10,10,1,1,1,1
BRCT_2,14,14,1,1,1,1
A_deaminase,82,82,1,1,1,1
Ribosomal_S18,128,128,1,1,1,1
DBI_PRT,89,89,1,1,1,1
eIF-6,41,41,1,1,1,1
FBPase,138,138,1,1,1,1
PAP_assoc,11,11,1,1,1,1
AICARFT_IMPCHas,34,34,1,1,1,1
MmgE_PrpD,11,11,1,1,1,1
Gelsolin,20,20,1,1,1,1
NDK,232,232,1,1,1,1
Diphthamide_syn,28,28,1,1,1,1
Sulfotransfer_1,45,45,1,1,1,1
MBOAT,34,34,1,1,1,1
W2,14,14,1,1,1,1
Rubredoxin,24,24,1,1,1,1
AMMECR1,32,32,1,1,1,1
Ribosomal_L9_C,107,107,1,1,1,1
MRP-L47,19,19,1,1,1,1
polyprenyl_synt,45,45,1,1,1,1
Pollen_allerg_1,19,19,1,1,1,1
Linker_histone,27,27,1,1,1,1
Complex1_LYR,38,38,1,1,1,1
DUF3416,17,17,1,1,1,1
Lactamase_B,227,227,1,1,1,1
SSrecog,13,13,1,1,1,1
Ribosomal_L35p,203,203,1,1,1,1
Cellulase,63,63,1,1,1,1
GATase_3,197,197,1,1,1,1
GATase_6,28,28,1,1,1,1
GATase_7,15,15,1,1,1,1
G-patch,44,44,1,1,1,1
VAPB_antitox,14,14,1,1,1,1
ATP-gua_Ptrans,29,29,1,1,1,1
Methyltransf_2,25,25,1,1,1,1
NT5C,13,13,1,1,1,1
RNA_pol_A_CTD,20,20,1,1,1,1
Flg_bbr_C,17,17,1,1,1,1
Glucokinase,36,36,1,1,1,1
Sec61_beta,32,32,1,1,1,1
Mem_trans,19,19,1,1,1,1
NB-ARC,49,49,1,1,1,1
Ran_BP1,10,10,1,1,1,1
YkuD,11,11,1,1,1,1
Glucosamine_iso,126,126,1,1,1,1
SH3_9,27,27,1,1,1,1
CLP1_P,56,56,1,1,1,1
F-box-like,44,44,1,1,1,1
SH3_1,83,83,1,1,1,1
SH3_2,20,20,1,1,1,1
SH3_3,12,12,1,1,1,1
Ribonuc_2-5A,10,10,1,1,1,1
ATG11,12,12,1,1,1,1
DXPR_C,11,11,1,1,1,1
ATG13,15,15,1,1,1,1
ATG16,11,11,1,1,1,1
Defensin_beta_2,38,38,1,1,1,1
Flg_bb_rod,18,18,1,1,1,1
DUF555,15,15,1,1,1,1
Efg1,22,22,1,1,1,1
Peptidase_M48,173,173,1,1,1,1
Cystatin,57,57,1,1,1,1
Peptidase_M43,15,15,1,1,1,1
Peptidase_M41,99,99,1,1,1,1
Rotamase_3,26,26,1,1,1,1
DUF370,27,27,1,1,1,1
Med10,18,18,1,1,1,1
Med11,12,12,1,1,1,1
MAP65_ASE1,10,10,1,1,1,1
Peptidase_A25,11,11,1,1,1,1
Med17,14,14,1,1,1,1
GARS_C,14,14,1,1,1,1
Nitrate_red_del,29,29,1,1,1,1
HHH_5,251,251,1,1,1,1
Death,11,11,1,1,1,1
Plant_vir_prot,10,10,1,1,1,1
K_trans,111,111,1,1,1,1
Bac_DNA_binding,97,97,1,1,1,1
CTP_transf_3,172,172,1,1,1,1
CTP_transf_1,22,22,1,1,1,1
MacB_PCD,59,59,1,1,1,1
Response_reg,288,288,1,1,1,1
UPRTase,144,144,1,1,1,1
WAK,13,13,1,1,1,1
MrpF_PhaF,10,10,1,1,1,1
Transferrin,14,14,1,1,1,1
Longin,11,11,1,1,1,1
Fun_ATP-synt_8,12,12,1,1,1,1
MnmE_helical,16,16,1,1,1,1
WAP,32,32,1,1,1,1
EF-hand_1,80,80,1,1,1,1
Ion_trans_2,25,25,1,1,1,1
EF-hand_5,37,37,1,1,1,1
EF-hand_4,32,32,1,1,1,1
EF-hand_7,88,88,1,1,1,1
EF-hand_8,44,44,1,1,1,1
OEP,12,12,1,1,1,1
UDPG_MGDP_dh_N,18,18,1,1,1,1
IL6,10,10,1,1,1,1
MR_MLE_C,31,31,1,1,1,1
Metalloenzyme,228,228,1,1,1,1
IL2,10,10,1,1,1,1
PPDK_N,17,17,1,1,1,1
IL1,21,21,1,1,1,1
PIG-F,11,11,1,1,1,1
POTRA,15,15,1,1,1,1
3-HAO,24,24,1,1,1,1
IL8,82,82,1,1,1,1
MR_MLE_N,60,60,1,1,1,1
RsgA_N,44,44,1,1,1,1
Zn_ribbon_SprT,35,35,1,1,1,1
DUF1273,38,38,1,1,1,1
RNA_binding,16,16,1,1,1,1
Glu_dehyd_C,16,16,1,1,1,1
Biotin_lipoyl,22,22,1,1,1,1
Hpt,10,10,1,1,1,1
DUF240,14,14,1,1,1,1
ubiquitin,74,74,1,1,1,1
zf-C3HC4,44,44,1,1,1,1
Lyase_1,276,276,1,1,1,1
Gal-bind_lectin,35,35,1,1,1,1
RnaseA,39,39,1,1,1,1
ABC-3,18,18,1,1,1,1
Isy1,11,11,1,1,1,1
CGI-121,15,15,1,1,1,1
NIR_SIR_ferr,78,78,1,1,1,1
Med16,11,11,1,1,1,1
IQ,49,49,1,1,1,1
POR_N,11,11,1,1,1,1
Med18,19,19,1,1,1,1
DAHP_synth_1,93,93,1,1,1,1
THUMP,139,139,1,1,1,1
C1q,12,12,1,1,1,1
SulA,10,10,1,1,1,1
G_glu_transpept,15,15,1,1,1,1
AdoHcyase,25,25,1,1,1,1
Topo-VIb_trans,16,16,1,1,1,1
SDF,98,98,1,1,1,1
tRNA-Thr_ED,29,29,1,1,1,1
COQ7,44,44,1,1,1,1
NAC,37,37,1,1,1,1
LpxK,175,175,1,1,1,1
NAF,11,11,1,1,1,1
Cytochrom_B561,11,11,1,1,1,1
LpxB,93,93,1,1,1,1
LpxC,82,82,1,1,1,1
BACK,12,12,1,1,1,1
NAM,12,12,1,1,1,1
NAP,23,23,1,1,1,1
SurE,245,245,1,1,1,1
TatC,27,27,1,1,1,1
Mon1,15,15,1,1,1,1
Mur_ligase_C,48,48,1,1,1,1
YidC_periplas,147,147,1,1,1,1
Forkhead,15,15,1,1,1,1
HisG,138,138,1,1,1,1
DUF721,12,12,1,1,1,1
PseudoU_synth_2,52,52,1,1,1,1
RuvB_N,203,203,1,1,1,1
PsaL,18,18,1,1,1,1
PsaM,12,12,1,1,1,1
PMSR,119,119,1,1,1,1
PetN,15,15,1,1,1,1
eIF-3c_N,14,14,1,1,1,1
Met_10,50,50,1,1,1,1
Epimerase_2,11,11,1,1,1,1
UCR_14kD,11,11,1,1,1,1
Chlor_dismutase,16,16,1,1,1,1
TP_methylase,135,135,1,1,1,1
PMEI,32,32,1,1,1,1
AgrB,11,11,1,1,1,1
Chorion_1,15,15,1,1,1,1
Peptidase_C69,12,12,1,1,1,1
CbiQ,35,35,1,1,1,1
CbiD,80,80,1,1,1,1
CbiA,29,29,1,1,1,1
Ribonuc_red_sm,39,39,1,1,1,1
Peptidase_S8,99,99,1,1,1,1
Methyltransf_23,121,121,1,1,1,1
Methyltransf_25,179,179,1,1,1,1
Glyco_transf_92,14,14,1,1,1,1
IspD,180,180,1,1,1,1
CLTH,18,18,1,1,1,1
MarC,13,13,1,1,1,1
PLAC8,19,19,1,1,1,1
IspA,71,71,1,1,1,1
3HCDH,10,10,1,1,1,1
SQS_PSY,29,29,1,1,1,1
Endonuclease_5,52,52,1,1,1,1
Propep_M14,17,17,1,1,1,1
TRM,42,42,1,1,1,1
Metallophos_2,17,17,1,1,1,1
DNA_primase_S,41,41,1,1,1,1
Vmethyltransf,35,35,1,1,1,1
TAS2R,72,72,1,1,1,1
Clathrin_lg_ch,12,12,1,1,1,1
Fimbrial,28,28,1,1,1,1
SMC_ScpA,45,45,1,1,1,1
Exostosin,17,17,1,1,1,1
Col_cuticle_N,13,13,1,1,1,1
TerB,12,12,1,1,1,1
Tyrosinase,11,11,1,1,1,1
Trehalase,11,11,1,1,1,1
Ribosomal_L37ae,25,25,1,1,1,1
Abhydrolase_6,69,69,1,1,1,1
Abhydrolase_1,148,148,1,1,1,1
RasGEF,11,11,1,1,1,1
Esterase_phd,10,10,1,1,1,1
TP6A_N,15,15,1,1,1,1
Nuf2,13,13,1,1,1,1
Homeobox_KN,13,13,1,1,1,1
Cytochrom_B559a,25,25,1,1,1,1
LMBR1,36,36,1,1,1,1
Allantoicase,22,22,1,1,1,1
Peptidase_M76,21,21,1,1,1,1
DNA_pol_B_exo1,42,42,1,1,1,1
RRF,286,286,1,1,1,1
Ribosomal_L32p,218,218,1,1,1,1
DNA_gyraseA_C,13,13,1,1,1,1
adh_short,181,181,1,1,1,1
Kinesin,61,61,1,1,1,1
Peptidase_A8,158,158,1,1,1,1
NIF3,36,36,1,1,1,1
HrcA_DNA-bdg,36,36,1,1,1,1
ELO,11,11,1,1,1,1
UBA_4,16,16,1,1,1,1
PdxJ,125,125,1,1,1,1
DNA_methylase,21,21,1,1,1,1
PPI_Ypi1,24,24,1,1,1,1
AI-2E_transport,25,25,1,1,1,1
PyrI_C,68,68,1,1,1,1
Ribosomal_L32e,22,22,1,1,1,1
Phycobilisome,16,16,1,1,1,1
zf-CCHC,42,42,1,1,1,1
FBD,25,25,1,1,1,1
Serum_albumin,18,18,1,1,1,1
RTC_insert,47,47,1,1,1,1
BTB_2,18,18,1,1,1,1
COX2_TM,26,26,1,1,1,1
rve,16,16,1,1,1,1
Hint,15,15,1,1,1,1
K-box,18,18,1,1,1,1
Pur_DNA_glyco,92,92,1,1,1,1
Fe_bilin_red,34,34,1,1,1,1
ATP-synt,297,297,1,1,1,1
Arg_repressor,10,10,1,1,1,1
CBM_21,12,12,1,1,1,1
tRNA-synt_1c,360,359,1,1,1,1
tRNA-synt_1f,24,24,1,1,1,1
Sulfatase,38,38,1,1,1,1
PIF1,17,17,1,1,1,1
Lipocalin,83,83,1,1,1,1
Asp_decarbox,150,150,1,1,1,1
SGL,11,11,1,1,1,1
IGFBP,18,18,1,1,1,1
Trp_syntA,234,234,1,1,1,1
Cas_Cas4,10,10,1,1,1,1
Cas_Cas1,40,40,1,1,1,1
ICL,16,16,1,1,1,1
Ribosomal_S19e,11,11,1,1,1,1
Cyclin,11,11,1,1,1,1
Pectate_lyase,11,11,1,1,1,1
START,24,24,1,1,1,1
Ribosomal_L25p,41,41,1,1,1,1
Herpes_glycop,12,12,1,1,1,1
Fumarate_red_D,12,12,1,1,1,1
IclR,10,10,1,1,1,1
Ribosomal_L5,73,73,1,1,1,1
Fe-ADH,21,21,1,1,1,1
Bud13,13,13,1,1,1,1
PEMT,35,35,1,1,1,1
PFK,93,93,1,1,1,1
Ribosomal_L6,371,371,1,1,1,1
ZnuA,19,19,1,1,1,1
Swi3,16,16,1,1,1,1
Ribosomal_L37e,29,29,1,1,1,1
Sec23_trunk,14,14,1,1,1,1
Pro_CA,13,13,1,1,1,1
Fic,11,11,1,1,1,1
VPS9,11,11,1,1,1,1
SDH_alpha,53,53,1,1,1,1
DUF588,149,149,1,1,1,1
DSBA,14,14,1,1,1,1
SecD-TM1,10,10,1,1,1,1
Glyco_hydro_18,33,33,1,1,1,1
Glyco_hydro_11,15,15,1,1,1,1
His_biosynth,489,489,1,1,1,1
Glyco_hydro_17,12,12,1,1,1,1
mTERF,16,16,1,1,1,1
TAN,12,12,1,1,1,1
Kunitz_legume,14,14,1,1,1,1
ZapB,30,30,1,1,1,1
Phage_int_SAM_1,119,119,1,1,1,1
Voltage_CLC,22,22,1,1,1,1
EPL1,16,16,1,1,1,1
Ribosomal_L34,140,140,1,1,1,1
SMC_N,267,266,1,1,1,1
HD_3,15,15,1,1,1,1
ResB,27,27,1,1,1,1
DUF104,19,19,1,1,1,1
SNARE,16,16,1,1,1,1
UxuA,34,34,1,1,1,1
MraY_sig1,29,29,1,1,1,1
RRP36,41,41,1,1,1,1
E7,10,10,1,1,1,1
Herpes_UL24,11,11,1,1,1,1
DUF692,27,27,1,1,1,1
Oxidored_molyb,29,29,1,1,1,1
GalP_UDP_tr_C,19,19,1,1,1,1
GATA,35,35,1,1,1,1
ZapC,19,19,1,1,1,1
ZapA,18,18,1,1,1,1
PRANC,27,27,1,1,1,1
PBP_like_2,13,13,1,1,1,1
Herpes_UL31,11,11,1,1,1,1
ACP_syn_III,25,25,1,1,1,1
ArfGap,15,15,1,1,1,1
Hpr_kinase_N,73,73,1,1,1,1
HSP33,116,116,1,1,1,1
MFS_1,430,430,1,1,1,1
MFS_2,23,23,1,1,1,1
Mononeg_RNA_pol,25,25,1,1,1,1
BshC,37,37,1,1,1,1
PIG-L,56,56,1,1,1,1
Ala_racemase_C,11,11,1,1,1,1
Peptidase_C54,23,23,1,1,1,1
Pkinase_Tyr,193,193,1,1,1,1
Multi_Drug_Res,33,33,1,1,1,1
TIM21,12,12,1,1,1,1
Herpes_U34,11,11,1,1,1,1
Spc24,10,10,1,1,1,1
Transglut_N,11,11,1,1,1,1
DLH,19,19,1,1,1,1
Trans_reg_C,43,43,1,1,1,1
GlnE,58,58,1,1,1,1
UPF0182,66,66,1,1,1,1
ABC_tran_Xtn,15,15,1,1,1,1
LIAS_N,53,53,1,1,1,1
Sugar_tr,136,136,1,1,1,1
OsmC,14,14,1,1,1,1
ODC_AZ,11,11,1,1,1,1
Thiol-ester_cl,10,10,1,1,1,1
VWD,30,30,1,1,1,1
HTH_Crp_2,16,16,1,1,1,1
YSIRK_signal,15,15,1,1,1,1
IU_nuc_hydro,13,13,1,1,1,1
CorA,34,34,1,1,1,1
S4,380,379,1,1,1,1
APG17,18,18,1,1,1,1
APG12,17,17,1,1,1,1
PIH1,17,17,1,1,1,1
PhyH,15,15,1,1,1,1
Glycoprot_B_PH2,11,11,1,1,1,1
Rhodanese_C,38,38,1,1,1,1
Calreticulin,11,11,1,1,1,1
NAD_binding_7,20,20,1,1,1,1
NAD_binding_6,32,32,1,1,1,1
NAD_binding_3,43,43,1,1,1,1
NAD_binding_2,29,29,1,1,1,1
NAD_binding_1,164,164,1,1,1,1
NAD_binding_8,25,25,1,1,1,1
DegV,37,37,1,1,1,1
tRNA_m1G_MT,276,276,1,1,1,1
YbaB_DNA_bd,182,182,1,1,1,1
Svf1_C,10,10,1,1,1,1
Gmad1,19,19,1,1,1,1
Cyt-b5,31,31,1,1,1,1
FBA_3,90,90,1,1,1,1
MscL,152,152,1,1,1,1
Bcl-2,11,11,1,1,1,1
zf-met,27,27,1,1,1,1
Glutaredoxin,44,44,1,1,1,1
Lipoprotein_18,15,15,1,1,1,1
SelR,73,73,1,1,1,1
DegT_DnrJ_EryC1,25,25,1,1,1,1
2OG-FeII_Oxy_2,13,13,1,1,1,1
2OG-FeII_Oxy_3,75,75,1,1,1,1
Ribosomal_L24e,28,28,1,1,1,1
UreD,124,124,1,1,1,1
NusG,18,18,1,1,1,1
IBB,14,14,1,1,1,1
CAP,17,17,1,1,1,1
NusB,265,265,1,1,1,1
GDA1_CD39,19,19,1,1,1,1
NAD_Gly3P_dh_N,265,265,1,1,1,1
Herpes_env,13,13,1,1,1,1
VWA_3,12,12,1,1,1,1
Queuosine_synth,219,219,1,1,1,1
IBR,26,26,1,1,1,1
dsrm,46,46,1,1,1,1
